"Immune_cells" "Inflammation" "Neutrophils" "Proliferation" "Th1" "Th17" "Patient" "Perturbation" "Apoptosis"
"292" 1 1 1 0.977 1 0.977 "GSM1163022" "IFNGR_OFF" 0
"293" 1 1 1 0.981 1 0.982 "GSM1163022" "IFNAR_OFF" 0
"294" 1 1 1 0 1 0 "GSM1163022" "TNFRSF1A_OFF" 0
"295" 1 1 1 0.979 1 0.98 "GSM1163022" "IL6R_OFF" 0
"296" 1 1 1 0.981 1 0.982 "GSM1163022" "IL36R_OFF" 0
"297" 1 1 1 0 1 0 "GSM1656078" "IL17R_OFF" 0
"298" 1 1 1 0.732 1 0.727 "GSM1656078" "IL22R_OFF" 0
"299" 1 1 1 0.712 1 0.711 "GSM1656078" "IL1R1_OFF" 0
"300" 1 1 0.997 0.733 1 0.735 "GSM1656078" "IFNGR_OFF" 0
"301" 1 1 1 0.709 1 0.708 "GSM1656078" "IFNAR_OFF" 0
"302" 1 1 1 0 1 0 "GSM1656078" "TNFRSF1A_OFF" 0
"303" 1 1 1 0.735 1 0.739 "GSM1656078" "IL6R_OFF" 0
"304" 1 1 1 0.709 1 0.708 "GSM1656078" "IL36R_OFF" 0
"305" 1 0.967 1 0.028 0.999 0.026 "GSM2211698" "IL17R_OFF" 0
"306" 1 1 1 0.899 1 0.893 "GSM2211698" "IL22R_OFF" 0
"307" 1 1 1 0.909 1 0.897 "GSM2211698" "IL1R1_OFF" 0
"308" 1 0.999 1 0.916 1 0.898 "GSM2211698" "IFNGR_OFF" 0
"309" 1 1 1 0.898 1 0.882 "GSM2211698" "IFNAR_OFF" 0
"310" 1 0.999 1 0.026 1 0.026 "GSM2211698" "TNFRSF1A_OFF" 0
"311" 1 1 1 0.891 1 0.881 "GSM2211698" "IL6R_OFF" 0
"312" 1 1 1 0.898 1 0.882 "GSM2211698" "IL36R_OFF" 0
"313" 1 1 1 0 1 0 "GSM2211711" "IL17R_OFF" 0
"314" 1 1 1 1 1 1 "GSM2211711" "IL22R_OFF" 0
