	GSM1023434	GSM1023435	GSM1023436	GSM1023437	GSM1023438	GSM1023439
ENSG00000241990.5	2.42272559288075	2.00642626565335	2.10221918632257	2.654164826347	1.33522402307027	2.6297306277155
ENSG00000197182.14	2.15353386033844	2.56376689500151	2.10221918632257	1.08579470168741	2.06352803565405	3.38108223563421
ENSG00000235159.1	6.32600571474418	11.0353444610934	5.44103789401135	8.08313833478404	5.70504809857297	7.76396661516003
ENSG00000186951.16	34.5911376316862	69.110238039171	37.5926254495329	34.504142742511	24.8837204299459	27.9252347609788
ENSG00000130943.6	4.44166358694804	5.68487441935116	3.4624786598254	3.01609639357613	2.06352803565405	3.1306316996613
ENSG00000075234.17	3.36489665677882	6.13074692282969	4.575418229055	1.56837012465959	0.971072016778378	2.75495589570195
ENSG00000075218.19	0.807575197626916	0.445872503478523	1.60757937777608	1.3270824131735	2.30629603984865	4.13243384355292
ENSG00000100416.15	7.4027726449134	8.69451381783119	8.90351655383675	6.15283664289532	13.9591602411892	11.3954993867671
ENSG00000075275.16	17.632058481521	20.9560076634906	23.1244110495482	18.2172222171999	17.9648323104	20.2864934138053
ENSG00000234869.1	1.61515039525383	2.78670314674077	0.741959712819729	1.08579470168741	1.82076003145946	2.6297306277155
ENSG00000075240.17	3.90328012186343	5.23900191587264	5.1937179897381	3.9812472395205	4.85536008389189	6.13603813133616
ENSG00000100422.14	15.4785246211826	15.7170057476179	17.312393299127	13.391467987478	15.0516162600649	27.2991084210466
ENSG00000260708.1	9.01792304016723	4.57019316065486	7.17227722392405	6.15283664289532	5.58366409647567	11.0198235828078
ENSG00000054611.14	17.4974626152498	25.1917964465365	23.1244110495482	19.5443046303734	23.4271124047784	35.5639761081524
ENSG00000224271.7	143.479193445049	165.084294412923	166.569955528029	107.131743899824	81.2058974030918	103.811747160769
ENSG00000279712.1	14.132565958471	15.7170057476179	23.6190508580947	3.73995952803441	8.37549614471351	10.518922510862
ENSG00000286381.1	1.34595866271153	2.34083064326224	0.865619664956351	1.08579470168741	2.91321605033513	0.751351607918713
ENSG00000280224.1	3.23030079050766	2.00642626565335	0.865619664956351	7.962494479041	0.242768004194594	0.751351607918713
ENSG00000235111.1	3.36489665677882	3.78991627956744	2.96783885127892	3.49867181654832	1.21384002097297	2.75495589570195
ENSG00000100425.18	41.1863350789727	43.5840372150256	47.8564014768725	42.8285687887811	44.912080776	55.7252442539712
ENSG00000279345.1	2.96110905796536	2.22936251739261	2.72051894700567	1.68901398040264	1.94214403355676	2.6297306277155
ENSG00000260613.2	2.01893799406729	2.45229876913187	2.22587913845919	0.965150845944363	1.21384002097297	1.25225267986452
ENSG00000100426.7	23.4196807311806	26.0835414534936	25.2266302358708	24.1287711486091	24.0340324152648	28.3009105649382
ENSG00000184164.14	9.55630650525184	13.264706978486	11.0057357401593	7.72120676755491	16.5082242852324	14.400905818442
ENSG00000198355.5	23.2850848649094	22.2936251739261	25.1029702837342	24.1287711486091	61.663073065427	39.1955088797595
